"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.175331827E2,-3.736690804E-2,-5.008547306E-1,3.273489652E-3
1.175530737E2,-3.860718757E-2,-5.018303990E-1,1.817262964E-4
1.175729637E2,-3.675069287E-2,-5.066132545E-1,-1.440446940E-4
1.175928547E2,-3.811898828E-2,-5.064345002E-1,-2.514025895E-3
1.176127457E2,-4.002404213E-2,-4.983403981E-1,-1.382848946E-3
1.176326357E2,-3.686433285E-2,-4.918698668E-1,-4.307831638E-3
1.176525267E2,-3.618530557E-2,-4.846301675E-1,-4.908706527E-3
1.176724177E2,-3.729465976E-2,-4.689299464E-1,-3.924372606E-3
1.176923077E2,-3.611046448E-2,-4.511287510E-1,-3.074653912E-3
1.177121987E2,-3.329342976E-2,-4.379397333E-1,-5.116400309E-3
1.177320897E2,-3.299954161E-2,-4.149755836E-1,-4.980678204E-3
1.177519797E2,-3.325128555E-2,-3.921303749E-1,-3.321664175E-3
1.177718707E2,-3.154535964E-2,-3.686129749E-1,-3.008807544E-3
1.177917607E2,-2.831983939E-2,-3.430099487E-1,-2.502806718E-3
1.178116517E2,-2.804171480E-2,-3.110719621E-1,-1.488808077E-3
1.178315427E2,-2.454943396E-2,-2.804897428E-1,-1.171560725E-3
1.178514327E2,-2.243190631E-2,-2.506251037E-1,-5.594629329E-6
1.178713237E2,-2.211328037E-2,-2.173973769E-1,1.940708142E-3
1.178912147E2,-1.714760624E-2,-1.806257814E-1,2.422576770E-3
1.179111047E2,-1.537549868E-2,-1.463312954E-1,4.052597564E-3
1.179309957E2,-1.126992051E-2,-1.099666655E-1,6.179165095E-3
1.179508867E2,-1.021770574E-2,-7.101127505E-2,7.738179527E-3
1.179707767E2,-5.911016837E-3,-3.354883939E-2,8.219812065E-3
1.179906677E2,-3.942587413E-3,4.195999354E-3,7.903894410E-3
1.180105587E2,5.595887778E-4,4.168926924E-2,9.798397310E-3
1.180304487E2,1.401056303E-3,7.983104140E-2,7.921269163E-3
1.180503397E2,3.963185474E-3,1.173703671E-1,9.172159247E-3
1.180702307E2,8.254738525E-3,1.528152525E-1,1.064751670E-2
1.180901207E2,1.127236616E-2,1.904182881E-1,1.012527011E-2
1.181100117E2,1.440260932E-2,2.219383866E-1,8.846451528E-3
1.181299027E2,1.692666486E-2,2.564877272E-1,7.447558455E-3
1.181497927E2,2.090058662E-2,2.883972228E-1,7.321825717E-3
1.181696837E2,2.328856289E-2,3.187699616E-1,5.431975238E-3
1.181895747E2,2.512662113E-2,3.466125131E-1,3.731651930E-3
1.182094646E2,2.804641612E-2,3.728884161E-1,2.185355406E-3
1.182293556E2,2.949548326E-2,3.991231322E-1,1.964746043E-3
1.182492466E2,3.334805742E-2,4.190387428E-1,-2.069909591E-3
1.182691366E2,3.600346670E-2,4.359863400E-1,-3.471902804E-3
1.182890276E2,3.668220714E-2,4.549705982E-1,-5.592307542E-3
1.183089186E2,3.502150252E-2,4.718395174E-1,-7.328520995E-3
1.183288086E2,3.917088360E-2,4.822636247E-1,-1.087545138E-2
1.183486996E2,3.986148909E-2,4.921106398E-1,-1.229115576E-2
1.183685906E2,4.121305794E-2,5.004503131E-1,-1.404438913E-2
1.183884806E2,4.044330493E-2,5.032127500E-1,-1.794325002E-2
1.184083716E2,4.297628254E-2,5.036362410E-1,-1.786751859E-2
1.184282626E2,4.425162077E-2,5.027551651E-1,-1.986991428E-2
1.184481526E2,4.279749095E-2,4.995579422E-1,-2.186818235E-2
1.184680436E2,4.180484265E-2,4.926567972E-1,-2.382900193E-2
1.184879346E2,4.142916575E-2,4.831188321E-1,-2.063074708E-2
1.185078246E2,3.847949207E-2,4.697785974E-1,-2.270524949E-2
1.185277156E2,3.698515147E-2,4.552227557E-1,-2.460871078E-2
1.185476066E2,4.110421613E-2,4.349209070E-1,-2.329374291E-2
1.185674966E2,3.716462851E-2,4.159707129E-1,-2.391488850E-2
1.185873876E2,3.478688002E-2,3.954962790E-1,-2.054419182E-2
1.186072786E2,3.485532477E-2,3.691095412E-1,-2.096131071E-2
1.186271686E2,3.217498213E-2,3.426071405E-1,-1.817714050E-2
1.186470596E2,2.709399350E-2,3.156385422E-1,-1.646596380E-2
1.186669506E2,2.686620504E-2,2.845063210E-1,-1.315692067E-2
1.186868406E2,2.770825475E-2,2.526604533E-1,-1.596159674E-2
1.187067316E2,2.450561337E-2,2.200422287E-1,-1.183036156E-2
1.187266226E2,1.897053793E-2,1.886911243E-1,-8.900984190E-3
1.187465136E2,1.946976222E-2,1.496060640E-1,-4.470252898E-3
1.187664036E2,1.513303816E-2,1.131050885E-1,-3.263952211E-3
1.187862946E2,1.187704224E-2,7.902462780E-2,5.095595261E-4
1.188061856E2,9.604569525E-3,4.145237431E-2,4.673876334E-3
1.188260756E2,9.305486456E-3,1.589172403E-3,5.717772059E-3
1.188459666E2,5.402681883E-3,-3.283681720E-2,1.015522610E-2
1.188658576E2,2.466634382E-3,-7.263603806E-2,1.170378830E-2
1.188857476E2,1.527907094E-3,-1.085258499E-1,1.534962654E-2
1.189056386E2,-1.653421554E-3,-1.458322406E-1,1.720904559E-2
1.189255296E2,-5.450950470E-3,-1.783822179E-1,2.128650993E-2
1.189454196E2,-6.792202592E-3,-2.151135802E-1,2.066545933E-2
1.189653106E2,-1.018031035E-2,-2.483110577E-1,2.104971185E-2
1.189852016E2,-1.324739214E-2,-2.804577351E-1,2.406208590E-2
1.190050916E2,-1.967608742E-2,-3.097967505E-1,2.565931901E-2
1.190249826E2,-1.822540909E-2,-3.391849697E-1,2.336250246E-2
1.190448736E2,-2.026201412E-2,-3.652410507E-1,2.486505359E-2
1.190647636E2,-2.595314756E-2,-3.905782104E-1,2.488306724E-2
1.190846546E2,-2.645560540E-2,-4.122682214E-1,2.465677075E-2
1.191045456E2,-2.762060054E-2,-4.337338805E-1,2.272294648E-2
1.191244356E2,-3.130042925E-2,-4.483760595E-1,2.198755369E-2
1.191443266E2,-3.206248581E-2,-4.637237191E-1,2.015699074E-2
1.191642176E2,-3.291642666E-2,-4.802542627E-1,2.067860030E-2
1.191841086E2,-3.512986749E-2,-4.881831408E-1,1.699311659E-2
1.192039990E2,-3.787363321E-2,-4.935939312E-1,1.348760165E-2
1.192238900E2,-3.736821935E-2,-4.994513988E-1,1.307990961E-2
1.192437810E2,-3.581790254E-2,-5.038328171E-1,9.737507440E-3
1.192636710E2,-3.974983841E-2,-5.029907823E-1,7.983449847E-3
1.192835620E2,-3.575234488E-2,-4.983159006E-1,5.351450294E-3
1.193034530E2,-3.928183019E-2,-4.939617515E-1,3.579580458E-3
1.193233430E2,-3.844098002E-2,-4.832773805E-1,1.537333941E-3
1.193432340E2,-3.869504482E-2,-4.698264301E-1,8.899884415E-4
1.193631250E2,-3.907530010E-2,-4.574478567E-1,-2.881626715E-4
1.193830150E2,-3.373726457E-2,-4.419276416E-1,-2.563232323E-3
1.194029060E2,-3.433043137E-2,-4.211798608E-1,-4.292229656E-3
1.194227970E2,-3.334452957E-2,-3.999230266E-1,-8.066993207E-3
1.194426870E2,-3.129607439E-2,-3.770884871E-1,-6.810279097E-3
1.194625780E2,-3.001656383E-2,-3.478335440E-1,-7.956597954E-3
1.194824690E2,-2.981206775E-2,-3.183588684E-1,-6.672728807E-3
1.195023600E2,-2.459893748E-2,-2.927941382E-1,-8.775422350E-3
1.195222500E2,-2.267643623E-2,-2.623415589E-1,-9.871356189E-3
1.195421410E2,-2.175707370E-2,-2.260370702E-1,-8.033268154E-3
1.195620320E2,-1.784751937E-2,-1.944926083E-1,-7.038804237E-3
1.195819220E2,-1.401366107E-2,-1.582214832E-1,-7.401173469E-3
1.196018130E2,-1.289110072E-2,-1.178823113E-1,-6.898661144E-3
1.196217040E2,-1.077947021E-2,-8.435780555E-2,-6.302393973E-3
1.196415940E2,-6.071318872E-3,-4.840593785E-2,-5.608795676E-3
1.196614850E2,-3.572118236E-3,-1.091766544E-2,-3.331661923E-3
1.196813760E2,-4.590686876E-3,2.768380567E-2,-2.623396926E-3
1.197012670E2,3.304751590E-4,6.401393563E-2,-2.601886168E-3
1.197211570E2,3.427863121E-3,1.026262417E-1,1.055733999E-3
1.197410480E2,5.231710151E-3,1.405356526E-1,9.760398534E-4
1.197609390E2,9.138487279E-3,1.740715951E-1,8.499276591E-4
1.197808290E2,1.512642484E-2,2.078614831E-1,1.400408335E-3
1.198007200E2,1.498222165E-2,2.431702316E-1,2.276605694E-3
1.198206110E2,1.628116518E-2,2.741943896E-1,2.336382633E-3
1.198405010E2,2.278660983E-2,3.057255447E-1,2.635280835E-3
1.198603920E2,2.519477159E-2,3.378125727E-1,2.187905135E-3
1.198802830E2,2.618169412E-2,3.624896109E-1,4.150021821E-3
1.199001740E2,2.705290169E-2,3.859196901E-1,3.893493908E-3
1.199200640E2,3.160939738E-2,4.082044065E-1,3.691419959E-3
1.199399550E2,3.167211264E-2,4.308592081E-1,1.175496029E-3
1.199598460E2,3.466777131E-2,4.487417042E-1,1.453565666E-3
1.199797360E2,3.796467185E-2,4.638821483E-1,-1.180893276E-3
1.199996270E2,3.657845408E-2,4.781618416E-1,-1.189956674E-4
